NAME	TITLE	SCORE	
SASH1		3.8812244	
PTTG1		3.8804026	
ARRB2		3.8795714	
ST7		3.874688	
TROAP		3.8706324	
PPIF		3.8706024	
SMC4		3.8644595	
CCNL1		3.8582196	
AURKB		3.8542516	
LMNB1		3.8539453	
ECI1		3.8509572	
ADCY3		3.838056	
SLC41A1		3.833458	
DEGS1		3.833412	
BCOR		3.8263173	
SKA3		3.8250136	
NDRG2		3.8205187	
SLC39A8		3.817091	
E2F1		3.8154352	
PTP4A1		3.815096	
RBM47		3.8144915	
COLCA1		3.80889	
UMODL1		3.8080244	
MYBL2		3.8050857	
TOP2A		3.8025804	
NCAPG2		3.7980697	
PFAS		3.7977653	
IMPA2		3.7934008	
TUBGCP3		3.7906795	
AK2		3.7880838	
CEP85		3.787785	
DNPH1		3.7873104	
NOLC1		3.7816396	
SDC3		3.7761974	
ZNF367		3.772911	
PAPSS2		3.7728837	
FXYD3		3.766973	
SIAE		3.7627597	
TBC1D30		3.7613552	
KIF20A		3.7593102	
ADGRL1		3.7557058	
FEN1		3.7544937	
TFAP2B		3.7542534	
XRCC2		3.753386	
FCHSD2		3.7407653	
TOP1		3.7376928	
JUNB		3.7356558	
HMGB2		3.7308052	
BUB1		3.7293696	
CDC42EP4		3.7293644	
ANP32E		3.7235363	
SELENBP1		3.7224514	
PARP1		3.7222996	
CLINT1		3.7213202	
PSMB6		3.720689	
MCM10		3.7196307	
POLQ		3.7104948	
ECH1		3.708017	
ABCD3		3.707473	
CSF1		3.7036207	
FAM20A		3.7016714	
CLIC6		3.6987934	
MAPRE2		3.6971138	
HPSE		3.694894	
CA8		3.694282	
HES1		3.6933494	
PCLAF		3.6903703	
ALDH16A1		3.685029	
MBNL3		3.6842475	
SCIN		3.6839821	
CAPN5		3.6828024	
CTSS		3.6810338	
EIF4A1		3.6783993	
SUV39H1		3.6775932	
NUDT3		3.6763017	
ARFGEF3		3.6733587	
ALKBH7		3.6719563	
LPL		3.6711237	
SKA1		3.668082	
PUS7		3.6672893	
IDH2		3.6632087	
ESAM		3.6623936	
CENPA		3.6623142	
NAA38		3.6616867	
TMEM191B		3.6612403	
PLK1		3.6592174	
SEPHS2		3.6559014	
MTUS1		3.6557987	
RGS2		3.6542804	
SRM		3.6495566	
PLA2G12A		3.6483924	
ATP5F1B		3.646229	
CDKN2C		3.6407528	
KIF11		3.6384666	
ABCA3		3.6367416	
UBR7		3.6362667	
HMMR		3.6267056	
SHE		3.6230958	
LHX9		3.6226895	
ATP2B1		3.620195	
TMEM45B		3.618306	
NCOA7		3.6155522	
PRDX3		3.6138186	
TMEM106C		3.6125808	
SCML1		3.6090517	
PPA2		3.607909	
CENPN		3.6057124	
SLC10A7		3.6049294	
MREG		3.5949714	
ATG3		3.5929306	
MRTO4		3.5921423	
NAA50		3.5908008	
FAM184A		3.5906708	
ARHGAP29		3.5901902	
DEK		3.5785685	
SSR2		3.5753522	
MBLAC2		3.5744627	
CTSC		3.5718694	
IFITM3		3.5661852	
GINS1		3.565832	
ASPM		3.5653796	
KIF20B		3.5602617	
CDC25A		3.5590646	
PCNA		3.5557253	
FGL1		3.5551503	
SOAT1		3.553354	
CCNB1		3.552525	
ASCL1		3.552031	
TTC39C		3.551195	
SLC5A6		3.55021	
MCM5		3.5501335	
SLC25A36		3.5493793	
PEX5		3.5493023	
CDK1		3.5484793	
KBTBD6		3.5484624	
BORCS5		3.5471191	
PAK6		3.5456781	
PLEKHS1		3.545377	
LINC01331		3.5441823	
KIF22		3.5428183	
DYRK3		3.5420613	
SKP2		3.5417168	
LAD1		3.538393	
FOXRED2		3.5283222	
BRCA2		3.5247362	
SCARA3		3.5231135	
KIF24		3.5220478	
ANP32B		3.5219522	
FANCD2		3.5212762	
BIRC5		3.5210307	
GOT1		3.5187976	
GINS3		3.5187776	
SMAP2		3.5172532	
SCNN1A		3.5155692	
LIN54		3.5135448	
PLA2G7		3.5134776	
RPL35		3.5110915	
RBBP7		3.5073645	
HNRNPA3		3.506296	
ELL2		3.5060923	
NQO2		3.5051754	
AIFM1		3.4987075	
ADAMTS1		3.4968376	
FOXA2		3.4919944	
TPX2		3.4898422	
IMPDH2		3.4862404	
CCNE2		3.4821982	
ESCO2		3.4821682	
MCM6		3.4813383	
NCAPD3		3.4809935	
BLVRB		3.4809914	
CCDC141		3.4749653	
DGLUCY		3.4729362	
CENPE		3.4714966	
ARHGAP11A		3.4684644	
NCAPG		3.4672554	
RGS17		3.4617956	
C5		3.4611163	
CLDN2		3.4571128	
MELK		3.4563286	
TPI1		3.4532003	
NIP7		3.4515655	
LAMP3		3.449279	
PELI2		3.4473622	
FZD5		3.4453123	
CRTAP		3.4422026	
TMEM14B		3.4378555	
EHD4		3.4361672	
TSPAN13		3.4347575	
CDC6		3.4324212	
RFC3		3.428864	
SOWAHC		3.4284093	
EML3		3.4231217	
HSD17B11		3.4214234	
CA13		3.421083	
PARPBP		3.4193506	
RIOK1		3.4156861	
MED13L		3.4153512	
MSH2		3.4120553	
DDX39A		3.411062	
POLA1		3.4098155	
CLPB		3.4085867	
TRIP13		3.4081752	
HAS3		3.4075253	
NT5C		3.4071822	
CDC25B		3.4059324	
DNAJA3		3.4024396	
LRP8		3.4011173	
FOXQ1		3.3983753	
HAX1		3.3954973	
SDC2		3.394275	
RPL41		3.3887749	
SNRPD1		3.3874311	
KLHL42		3.3775384	
CXXC4		3.3766239	
SMC2		3.375154	
PRMT6		3.3747911	
SOS1		3.3742843	
TIMELESS		3.3737125	
PABPC4L		3.3710485	
TPMT		3.3686495	
FAM120A		3.3632112	
PHGDH		3.3593347	
ALYREF		3.3590276	
ASF1B		3.3589685	
NCAPH		3.3586385	
AMD1		3.356934	
HAT1		3.3543656	
ST8SIA4		3.351305	
NUCKS1		3.349815	
